                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8164,                 2.5224,                 2.0614,                 1.3005,                0.42407,                0.69224,                0.51277,                0.28888,                0.41226,                0.66646,                0.48193,                0.22653,                 1.3698,                 1.9095,                 1.5021,                 1.1222,              0.0003683,              0.0003683,              0.0003683
                      2,                 1.4159,                 1.9162,                 1.3558,                 1.0555,                0.43614,                0.71813,                0.51891,                0.29421,                0.44233,                0.65208,                0.50201,                0.25126,                 1.4131,                 1.8488,                 1.2338,                 1.0876,             0.00073498,             0.00073498,             0.00073498
                      3,                 1.3867,                 1.8858,                 1.3063,                 1.0549,                0.54682,                0.69476,                0.58783,                0.33781,                0.53362,                0.67049,                0.55874,                0.27175,                 1.3167,                 1.7754,                 1.2156,                 1.0634,               0.001098,               0.001098,               0.001098
                      4,                 1.3558,                 1.7952,                 1.2437,                 1.0512,                0.46548,                0.74693,                0.58632,                0.33826,                0.45383,                0.72974,                0.56133,                0.27034,                 1.3307,                 1.8579,                 1.2723,                 1.0663,              0.0010945,              0.0010945,              0.0010945
                      5,                 1.3506,                 1.8095,                 1.2101,                 1.0457,                0.56185,                0.69697,                 0.6228,                0.36364,                0.54836,                0.68441,                0.60471,                0.30181,                 1.2915,                 1.7113,                 1.1578,                 1.0645,              0.0010945,              0.0010945,              0.0010945
                      6,                 1.3283,                 1.7381,                 1.1649,                 1.0427,                 0.5783,                0.71663,                0.65374,                0.38317,                0.56185,                0.69944,                 0.6287,                0.32736,                 1.3062,                 1.6795,                  1.113,                 1.0687,               0.001089,               0.001089,               0.001089
                      7,                 1.3195,                 1.7199,                 1.1388,                 1.0425,                0.54736,                0.72207,                 0.6117,                0.36978,                0.53998,                0.70887,                 0.5965,                0.30767,                 1.2879,                 1.6779,                 1.1553,                 1.0753,              0.0010835,              0.0010835,              0.0010835
                      8,                  1.305,                 1.6759,                 1.0946,                 1.0402,                0.62042,                0.72427,                 0.6812,                0.40156,                0.61208,                0.71557,                0.66277,                0.33998,                 1.2864,                 1.6759,                 1.0606,                  1.076,               0.001078,               0.001078,               0.001078
                      9,                 1.3068,                 1.7145,                 1.1139,                 1.0445,                0.58085,                0.74152,                0.64762,                0.37928,                0.57704,                0.72702,                0.63305,                0.31925,                 1.2725,                 1.6861,                 1.1397,                 1.0727,              0.0010725,              0.0010725,              0.0010725
                     10,                 1.2807,                 1.6599,                 1.0818,                 1.0312,                0.55841,                0.75537,                0.66529,                0.39927,                0.55137,                0.74729,                 0.6502,                0.32374,                  1.284,                 1.6507,                 1.0373,                 1.0723,               0.001067,               0.001067,               0.001067
